source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2546,0x0001,IN,/Block Initializing Vector (IV):Field,blob,233,4,4,4.000,-
12,2546,0x0001,IN,/Local Initializing Vector (IV):Field,blob,233,4,4,4.000,-
12,2546,0x0001,IN,/MapleStory# Version:Field,blob,233,4,4,4.000,-
12,2546,0x0001,IN,/Opcode:Int16,num,233,1,1,1.000,1:233
12,2546,0x0001,IN,/Packet Length:Field,blob,233,4,4,4.000,-
12,2546,0x0001,IN,/Patch Type:Byte,num,233,0,2,1.974,2:230|0:3
12,2546,0x0001,IN,/Raw Sequence:Int16,num,233,-32765,32595,1733.210,~other:169|-12967:1|-13564:1|-13650:1|-15833:1|-16195:1|-17123:1|-19276:1|-19310:1|-19868:1|-21910:1|-22558:1|-22993:1|-23616:1|-23644:1|-26040:1|-27006:1|-27480:1|-27645:1|-28773:1|-29877:1|-30047:1|-30467:1|-30942:1|-7284:1|-8285:1|-829:1|-9584:1|10468:1|1317:1|13372:1|13438:1|14901:1|15851:1|16177:1|16382:1|16555:1|16669:1|16810:1|17496:1|18730:1|19123:1|19811:1|19870:1|20159:1|21615:1|2192:1|22023:1|23503:1|24789:1|25489:1|26826:1|27100:1|28217:1|29134:1|30716:1|3087:1|31478:1|31488:1|31556:1|32183:1|3427:1|4018:1|4514:1|6262:1
12,2546,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,233,4,4,4.000,-
12,2546,0x0001,OUT,/Locale?:Int16,num,233,0,0,0.000,0:233
12,2546,0x0001,OUT,/Unknown:Int16,num,233,90,90,90.000,90:233
12,2546,0x0001,OUT,/Version:Int32,num,233,2546,2546,2546.000,2546:233
12,2546,0x0003,OUT,/machineId:Field,blob,1,16,16,16.000,-
12,2546,0x0003,OUT,/mode:Byte,num,1,2,2,2.000,2:1
12,2546,0x0003,OUT,/sessionKey:Int32,num,1,0,0,0.000,0:1
12,2546,0x0003,OUT,/sub_#D#(CMachineIDManagerPtr):Int32,num,1,-983040,-983040,-983040.000,-983040:1
12,2546,0x0003,OUT,/unknown:Int16,num,1,1,1,1.000,1:1
12,2546,0x0003,OUT,locale/locale:Field,blob,1,0,0,0.000,-
12,2546,0x0003,OUT,locale/size:Int16,num,1,0,0,0.000,0:1
12,2546,0x0003,OUT,password/password:Field,blob,1,46,46,46.000,-
12,2546,0x0003,OUT,password/size:Int16,num,1,23,23,23.000,23:1
12,2546,0x0003,OUT,username/size:Int16,num,1,544,544,544.000,544:1
12,2546,0x0003,OUT,username/username:Field,blob,1,1088,1088,1088.000,-
12,2546,0x0004,OUT,/AccountId:Int64,num,232,113551,2.6008699237876383E+18,2443526718564573696.000,2600447857061269185:199|113551:14|2600458251678257335:7|2600458273186250893:3|2600444654012859072:2|2600456685951647755:2|2600450518167209949:1|2600454400378667620:1|2600456385461886027:1|2600458662756497276:1|2600869923787638399:1
12,2546,0x0004,OUT,/MachineId:Field,blob,232,16,16,16.000,-
12,2546,0x0004,OUT,/TokenA:Int32,num,232,19124,992062708,249131809.694,~other:168|100242100:1|121685333:1|12439680:1|124761088:1|126449085:1|140113702:1|14083160:1|14642145:1|147039324:1|1492770:1|156462390:1|157497510:1|159234285:1|160418910:1|162827138:1|165271841:1|166722400:1|167389992:1|172905125:1|180756044:1|184529360:1|185034193:1|208720668:1|209752013:1|2321609:1|246856168:1|250335750:1|266511863:1|270532017:1|27397242:1|282454122:1|291617767:1|291927040:1|316005300:1|329008693:1|329673333:1|33487724:1|357040860:1|366974748:1|370886340:1|39579973:1|399176316:1|441836650:1|46387588:1|483775858:1|494272688:1|50136524:1|5346666:1|542902465:1|543536032:1|548901016:1|550834295:1|55550850:1|594607481:1|61547148:1|64392265:1|64553535:1|651230496:1|69641642:1|738328377:1|89042541:1|92165532:1|97248075:1|999945:1
