source_build,target_build,opcode,direction,quality,edge_n,n_fields_compared,n_flagged,worst_check,worst_severity,verdict
2486,12,0x0006,IN,USEFUL,1500,1,0,-,-,insufficient-fields
2486,12,0x0006,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
2546,12,0x0016,IN,USEFUL,1185,10,0,-,-,pass
2549,12,0x0016,IN,USEFUL,1185,0,0,-,-,insufficient-fields
2550,12,0x0016,IN,USEFUL,1185,0,0,-,-,insufficient-fields
2500,12,0x0017,IN,STUB,1230,0,0,-,-,insufficient-fields
2512,12,0x0020,OUT,USEFUL,1500,33,7,dist_diverge,high,suspect
2502,12,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,12,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
12,2464,0x0012,OUT,USEFUL,416,21,12,dist_diverge,high,suspect
12,2464,0x0024,IN,USEFUL,514,5,1,dist_diverge,high,suspect
2502,2464,0x0024,IN,USEFUL,514,5,1,dist_diverge,high,suspect
2507,2464,0x0024,IN,USEFUL,514,5,1,dist_diverge,high,suspect
12,2465,0x0011,IN,USEFUL,437,6,1,dist_diverge,high,suspect
12,2465,0x0012,OUT,USEFUL,1208,21,11,dist_diverge,high,suspect
12,2465,0x0024,IN,USEFUL,514,5,1,dist_diverge,high,suspect
2502,2465,0x0024,IN,USEFUL,514,5,1,dist_diverge,high,suspect
2507,2465,0x0024,IN,USEFUL,514,5,1,dist_diverge,high,suspect
2527,2465,0x0058,IN,USEFUL,1293,15,6,dist_diverge,high,suspect
12,2486,0x0006,IN,USEFUL,1131,1,0,-,-,insufficient-fields
12,2486,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2486,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
12,2486,0x001C,IN,USEFUL,1500,19,15,dist_diverge,high,suspect
12,2486,0x0020,OUT,USEFUL,1500,34,11,dist_diverge,high,suspect
2512,2486,0x0020,OUT,USEFUL,1500,33,15,dist_diverge,high,suspect
12,2486,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2486,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2486,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
12,2486,0x0026,OUT,USEFUL,516,10,2,dist_diverge,high,suspect
2528,2486,0x002E,IN,USEFUL,1500,3,2,dist_diverge,medium,suspect
2506,2486,0x003C,IN,PARTIAL,1500,0,0,-,-,insufficient-fields
2507,2486,0x003C,IN,USEFUL,1500,1,0,-,-,insufficient-fields
2512,2486,0x003C,IN,USEFUL,1500,17,4,dist_diverge,high,suspect
2520,2486,0x003C,IN,USEFUL,1500,0,0,-,-,insufficient-fields
2507,2486,0x0048,IN,USEFUL,501,25,0,-,-,pass
2512,2486,0x004C,IN,USEFUL,385,5,3,dist_diverge,high,suspect
2503,2486,0x004D,IN,USEFUL,387,4,0,-,-,pass
2521,2486,0x0055,IN,USEFUL,1475,18,7,count_neg,high,suspect
2506,2486,0x005E,IN,USEFUL,1500,11,0,-,-,pass
2529,2486,0x0075,IN,USEFUL,1500,13,6,dist_diverge,high,suspect
12,2489,0x000B,OUT,USEFUL,447,1,0,-,-,insufficient-fields
12,2489,0x0011,IN,USEFUL,903,6,1,dist_diverge,high,suspect
12,2489,0x0020,OUT,USEFUL,474,21,10,dist_diverge,high,suspect
2512,2489,0x0020,OUT,USEFUL,474,21,10,dist_diverge,high,suspect
2529,2489,0x0021,IN,STUB,317,1,0,-,-,insufficient-fields
2546,2489,0x0021,IN,STUB,317,1,0,-,-,insufficient-fields
12,2489,0x0024,IN,USEFUL,344,5,2,dist_diverge,high,suspect
2502,2489,0x0024,IN,USEFUL,344,5,2,dist_diverge,high,suspect
2507,2489,0x0024,IN,USEFUL,344,5,2,dist_diverge,high,suspect
2528,2489,0x002E,IN,USEFUL,567,3,2,dist_diverge,high,suspect
2527,2489,0x0058,IN,USEFUL,1500,15,6,dist_diverge,high,suspect
2527,2490,0x0058,IN,USEFUL,625,15,6,dist_diverge,high,suspect
12,2492,0x000B,OUT,USEFUL,336,1,0,-,-,insufficient-fields
12,2492,0x0011,IN,USEFUL,677,6,1,dist_diverge,high,suspect
12,2492,0x001C,IN,USEFUL,742,18,16,dist_diverge,high,suspect
12,2492,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2492,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2492,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2521,2492,0x0058,IN,USEFUL,1500,14,1,dist_diverge,medium,suspect
2527,2492,0x0058,IN,USEFUL,1500,15,5,dist_diverge,high,suspect
12,2493,0x0024,IN,USEFUL,1468,5,1,dist_diverge,high,suspect
2502,2493,0x0024,IN,USEFUL,1468,5,0,-,-,pass
2507,2493,0x0024,IN,USEFUL,1468,5,1,dist_diverge,high,suspect
2521,2493,0x0058,IN,USEFUL,1500,14,2,dist_diverge,high,suspect
2527,2493,0x0058,IN,USEFUL,1500,15,6,dist_diverge,high,suspect
