source_build,target_build,opcode,direction,field_key,check,edge_value,home_value,severity
2512,12,0x0020,OUT,/SkillId:Int32,dist_diverge,tvd=0.891,home_other=0.00,high
2512,12,0x0020,OUT,/UserObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2512,12,0x0020,OUT,/flag:Boolean,dist_diverge,tvd=0.998,home_other=0.00,high
2512,12,0x0020,OUT,ImpactPositionCoordF/Z:Single,dist_diverge,tvd=0.635,home_other=0.01,high
2512,12,0x0020,OUT,Npc #/UserObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2512,12,0x0020,OUT,PositionCoordF/Z:Single,dist_diverge,tvd=0.528,home_other=0.16,medium
2512,12,0x0020,OUT,RotationCoordF/Z:Single,dist_diverge,tvd=0.541,home_other=0.71,medium
2502,12,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.705,home_other=0.09,high
2507,12,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.759,home_other=0.09,high
12,2464,0x0012,OUT,/Function:Byte,dist_diverge,tvd=0.656,home_other=0.00,high
12,2464,0x0012,OUT,Segment #/StateSync/CoordS / #:Int16,dist_diverge,tvd=0.726,home_other=0.28,high
12,2464,0x0012,OUT,Segment #/StateSync/PositionCoordS/X:Int16,dist_diverge,tvd=1.000,home_other=0.92,high
12,2464,0x0012,OUT,Segment #/StateSync/PositionCoordS/Y:Int16,dist_diverge,tvd=1.000,home_other=0.91,high
12,2464,0x0012,OUT,Segment #/StateSync/PositionCoordS/Z:Int16,dist_diverge,tvd=0.873,home_other=0.31,high
12,2464,0x0012,OUT,Segment #/StateSync/Rotation# CoordS / #:Int16,dist_diverge,tvd=0.874,home_other=0.27,high
12,2464,0x0012,OUT,Segment #/StateSync/Rotation:Int16,dist_diverge,tvd=0.853,home_other=0.23,high
12,2464,0x0012,OUT,Segment #/StateSync/SpeedCoordS/X:Int16,dist_diverge,tvd=0.502,home_other=0.00,medium
12,2464,0x0012,OUT,Segment #/StateSync/SpeedCoordS/Y:Int16,dist_diverge,tvd=0.508,home_other=0.00,medium
12,2464,0x0012,OUT,Segment #/StateSync/Unknown:Int32,dist_diverge,tvd=0.989,home_other=0.52,high
12,2464,0x0012,OUT,Segment #/StateSync/state:Byte,dist_diverge,tvd=0.639,home_other=0.00,high
12,2464,0x0012,OUT,Segment #/StateSync/subState:Byte,dist_diverge,tvd=0.598,home_other=0.00,medium
12,2464,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.935,home_other=0.12,high
2502,2464,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.938,home_other=0.09,high
2507,2464,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.995,home_other=0.09,high
12,2465,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2465,0x0012,OUT,/Function:Byte,dist_diverge,tvd=0.508,home_other=0.00,medium
12,2465,0x0012,OUT,Segment #/StateSync/CoordS / #:Int16,dist_diverge,tvd=0.840,home_other=0.28,high
12,2465,0x0012,OUT,Segment #/StateSync/PositionCoordS/X:Int16,dist_diverge,tvd=0.999,home_other=0.92,high
12,2465,0x0012,OUT,Segment #/StateSync/PositionCoordS/Y:Int16,dist_diverge,tvd=1.000,home_other=0.91,high
12,2465,0x0012,OUT,Segment #/StateSync/PositionCoordS/Z:Int16,dist_diverge,tvd=0.992,home_other=0.31,high
12,2465,0x0012,OUT,Segment #/StateSync/Rotation# CoordS / #:Int16,dist_diverge,tvd=0.858,home_other=0.27,high
12,2465,0x0012,OUT,Segment #/StateSync/Rotation:Int16,dist_diverge,tvd=0.858,home_other=0.23,high
12,2465,0x0012,OUT,Segment #/StateSync/Unknown:Byte,dist_diverge,tvd=0.873,home_other=0.00,high
12,2465,0x0012,OUT,Segment #/StateSync/Unknown:Int32,dist_diverge,tvd=0.744,home_other=0.52,high
12,2465,0x0012,OUT,Segment #/StateSync/state:Byte,dist_diverge,tvd=0.716,home_other=0.00,high
12,2465,0x0012,OUT,Segment #/StateSync/subState:Byte,dist_diverge,tvd=0.716,home_other=0.00,high
12,2465,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.935,home_other=0.12,high
2502,2465,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.938,home_other=0.09,high
2507,2465,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.995,home_other=0.09,high
2527,2465,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2465,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=1.000,home_other=0.20,high
2527,2465,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=1.000,home_other=0.18,high
2527,2465,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2465,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.606,home_other=0.00,high
2527,2465,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.999,home_other=0.00,high
12,2486,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2486,0x001C,IN,/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2486,0x001C,IN,StateSync/AnimationString?/size:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
