source_build,target_build,opcode,direction,seen,n,ok_exact,under_read,over_read,threw,consumed_p50,consumed_p90,home_n,home_over_read,home_p50,over_sigs,home_over_sigs,ks_vs_home,script_sha,env_sha,quality,state,reason,invariants,rule_version,sampling
2486,12,0x0006,IN,18494,1500,1500,0,0,0,100,100,1131,0,100,-,-,0.000,2f67488080ad,e531069fb1f2,USEFUL,accept,,insufficient-fields,3.1.0-quarantine,reservoir;n=1500;seed=1
2486,12,0x0006,OUT,18772,1500,1500,0,0,0,100,100,1130,0,100,-,-,0.000,2f67488080ad,e531069fb1f2,USEFUL,accept,,insufficient-fields,3.1.0-quarantine,reservoir;n=1500;seed=1
2525,12,0x0009,OUT,56,56,52,4,0,0,100,100,1,0,100,-,-,0.071,e447374332aa,e531069fb1f2,USEFUL,insufficient,n=56 < floor 300,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x000B,IN,28,28,0,0,28,0,1,2,1,0,76,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [server name:Field]:28,-,1.000,68680f9e6dd6,e531069fb1f2,STUB,reject,over_read=28; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x000C,IN,208,208,75,33,100,0,7,100,4,2,100,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Name:Field]:100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Slot Type:Field]:1,0.639,d9c10b8487c2,e531069fb1f2,STUB,reject,over_read=100; NEW failure mode vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2525,12,0x000C,IN,208,208,75,33,100,0,7,100,3,0,100,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Name:Field]:100,-,0.639,d9c10b8487c2,e531069fb1f2,STUB,reject,over_read=100; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x0015,IN,699,699,0,0,699,0,100,100,64,0,100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:449|NegativeLength: ReadBytes: negative length -# at offset #/# @  [String:Field]:159|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [String:Field]:91,-,0.428,afce9e0e791b,e531069fb1f2,USEFUL,reject,over_read=699; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2546,12,0x0016,IN,1185,1185,1185,0,0,0,100,100,314,0,100,-,-,0.000,bd0753bb66c6,750b3e3c91cc,USEFUL,accept,,pass,3.1.0-quarantine,reservoir;n=1500;seed=1
2549,12,0x0016,IN,1185,1185,1185,0,0,0,100,100,17,0,100,-,-,0.000,bd0753bb66c6,750b3e3c91cc,USEFUL,accept,,insufficient-fields,3.1.0-quarantine,reservoir;n=1500;seed=1
2550,12,0x0016,IN,1185,1185,1185,0,0,0,100,100,4,0,100,-,-,0.000,bd0753bb66c6,750b3e3c91cc,USEFUL,accept,,insufficient-fields,3.1.0-quarantine,reservoir;n=1500;seed=1
