source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2507,0x0001,IN,66,66,66,0,66,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:66,reservoir;n=1500;seed=1,-
12,2507,0x0001,OUT,66,66,66,0,66,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:66,reservoir;n=1500;seed=1,-
12,2507,0x0003,OUT,2,2,2,0,0,2,0,0,0,0,100,100,3d3c87d1fc67,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2507,0x0004,IN,64,64,64,0,64,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:64,reservoir;n=1500;seed=1,-
12,2507,0x0004,OUT,64,64,64,0,64,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:64,reservoir;n=1500;seed=1,-
12,2507,0x0005,IN,83,83,83,0,83,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:83,reservoir;n=1500;seed=1,-
12,2507,0x0006,IN,666,666,666,0,666,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:666,reservoir;n=1500;seed=1,-
2486,2507,0x0006,IN,666,666,666,0,666,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:666,reservoir;n=1500;seed=1,-
2486,2507,0x0006,OUT,665,665,665,0,665,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:665,reservoir;n=1500;seed=1,-
12,2507,0x0009,IN,2,2,2,0,2,0,0,0,0,0,100,100,fb4c28958104,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2507,0x0009,OUT,1,1,1,0,1,0,0,0,0,0,100,100,e447374332aa,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
2525,2507,0x0009,OUT,1,1,1,0,1,0,0,0,0,0,100,100,e447374332aa,e531069fb1f2,100:1,reservoir;n=1500;seed=1,-
12,2507,0x000A,IN,1,1,1,0,1,0,0,0,0,0,100,100,24c7753b8f3d,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2507,0x000A,OUT,1,1,1,0,1,0,0,0,0,0,100,100,8e71d76b9fe2,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2507,0x000B,IN,1,1,1,0,0,0,1,0,0,0,2,2,c790c8470c75,d7b7fc65329f,2:1,reservoir;n=1500;seed=1,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Server Name:Field]:1
2507,2507,0x000B,IN,1,1,1,0,0,1,0,0,0,0,76,76,68680f9e6dd6,e531069fb1f2,76:1,reservoir;n=1500;seed=1,-
12,2507,0x000B,OUT,3100,1500,1500,0,1500,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1,-
12,2507,0x000C,IN,4,4,4,0,2,0,2,0,0,0,100,100,f0091abaa206,d7b7fc65329f,100:4,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:2
2507,2507,0x000C,IN,4,4,4,0,2,0,2,0,0,0,100,100,d9c10b8487c2,e531069fb1f2,92:1|100:3,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Slot Type:Field]:1
2525,2507,0x000C,IN,4,4,4,0,2,0,2,0,0,0,100,100,d9c10b8487c2,e531069fb1f2,92:1|100:3,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Slot Type:Field]:1
12,2507,0x000C,OUT,64,64,64,0,64,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:64,reservoir;n=1500;seed=1,-
12,2507,0x000D,IN,64,64,64,0,64,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:64,reservoir;n=1500;seed=1,-
12,2507,0x000E,IN,1,1,1,0,1,0,0,0,0,0,100,100,aa3b7054d65f,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
-,2507,0x000E,OUT,64,64,0,64,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2507,0x000F,OUT,66,66,0,66,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2507,0x0010,IN,7,7,7,0,7,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:7,reservoir;n=1500;seed=1,-
-,2507,0x0010,OUT,66,66,0,66,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2507,0x0011,IN,6251,1500,1500,0,751,749,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:749|100:751,reservoir;n=1500;seed=1,-
-,2507,0x0011,OUT,31,31,0,31,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2507,0x0012,IN,1,1,1,0,1,0,0,0,0,0,100,100,90fbad88d3b4,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2507,0x0012,OUT,22734,1500,1500,0,0,0,1500,0,0,286,95,100,00eac5549f4f,d7b7fc65329f,49:1|54:1|65:4|85:141|95:815|96:4|100:534,reservoir;n=1500;seed=1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:443|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:309|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:239|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UnknownStr:Field]:159|NegativeLength: ReadBytes: negative length -# at offset #/# @  [AnimationString?:Field]:127|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UnknownStr:Field]:115|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [AnimationString?:Field]:57|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Byte]:24|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:21|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Y:Single]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [size:Int16]:2
12,2507,0x0013,IN,64,64,64,0,64,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:64,reservoir;n=1500;seed=1,-
